CATEGORY,START,STOP,MILES,PURPOSE,DRIVER_RATING,FARE_AMOUNT,PASSENGER_COUNT,PAYMENT_METHOD,CAR_TYPE,TRIP_TYPE,TRIP_DATE,YEAR,MONTH_NAME,DAY_OF_WEEK_NAME,DAY_OF_MONTH
Business,Ramirezborough,Ramirezborough,19.97,Meeting,5.2,14.87,2,Uber Credit,SUV,Round-Trip,2022-06-01,2022,June,Wednesday,1
Business,New Caseyburgh,New Caseyburgh,13.62,Errand/Supplies,5.0,22.83,4,Uber Credit,Premium,Round-Trip,2022-11-09,2022,November,Wednesday,9
Personal,Hannahside,West Mercedes,21.48,Commute,4.5,13.11,2,Card,SUV,One-Way,2024-07-17,2024,July,Wednesday,17
Business,Trevinofurt,Trevinofurt,30.23,Meeting,4.2,20.38,2,Cash,Economy,Round-Trip,2021-09-17,2021,September,Friday,17
Business,Christopherberg,Christopherberg,12.66,,4.8,3.4,1,Cash,SUV,Round-Trip,2021-07-22,2021,July,Thursday,22
Business,Jeffreychester,Jeffreychester,12.66,Meal/Entertain,,28.2,3,Uber Credit,Premium,Round-Trip,2021-03-08,2021,March,Monday,8
Business,Villarrealhaven,Villarrealhaven,30.79,Errand/Supplies,4.9,25.02,3,Uber Credit,SUV,Round-Trip,2021-01-17,2021,January,Sunday,17
Business,East Miaberg,East Miaberg,22.67,Errand/Supplies,4.8,12.74,2,Uber Credit,Economy,Round-Trip,2024-01-17,2024,January,Wednesday,17
Personal,Watkinston,Watkinston,10.31,Commute,5.0,34.89,1,Cash,Premium,Round-Trip,2024-12-23,2024,December,Monday,23
Business,Juanville,Pricebury,20.43,Errand/Supplies,4.2,39.06,4,Cash,Economy,One-Way,2021-11-14,2021,November,Sunday,14
Business,South Heatherland,North Jillburgh,10.37,,5.2,0.89,3,Cash,SUV,One-Way,2020-08-12,2020,August,Wednesday,12
Business,Moniquechester,North Thomas,10.34,Commute,4.6,13.56,2,Uber Credit,SUV,One-Way,2024-10-17,2024,October,Thursday,17
Business,Williammouth,Williammouth,17.42,Errand/Supplies,5.5,13.46,3,Uber Credit,Economy,Round-Trip,2022-01-05,2022,January,Wednesday,5
Business,East Johnchester,,-4.13,Commute,4.2,10.9,3,Cash,Premium,Unknown,2022-06-11,2022,June,Saturday,11
Business,Farmermouth,Farmermouth,-2.25,Errand/Supplies,5.4,37.44,4,Uber Credit,Economy,Round-Trip,2021-08-21,2021,August,Saturday,21
Business,Emilyport,Emilyport,9.38,Errand/Supplies,4.6,22.09,1,Cash,Premium,Round-Trip,2021-05-29,2021,May,Saturday,29
Personal,Ryanhaven,Ryanhaven,4.87,Meal/Entertain,4.2,21.03,4,Cash,Premium,Round-Trip,2021-10-24,2021,October,Sunday,24
Business,Priceshire,Priceshire,18.14,Errand/Supplies,4.3,5.06,1,Cash,Premium,Round-Trip,2023-12-07,2023,December,Thursday,7
