,CATEGORY,START,STOP,MILES,PURPOSE,DRIVER_RATING,FARE_AMOUNT,PASSENGER_COUNT,PAYMENT_METHOD,CAR_TYPE,TRIP_TYPE,TRIP_DATE,YEAR,MONTH_NAME,DAY_OF_WEEK_NAME,DAY_OF_MONTH
0,Business,Ramirezborough,Ramirezborough,19.97,Meeting,5.2,14.87,2,Uber Credit,SUV,Round-Trip,2022-06-01,2022,June,Wednesday,1
1,Business,New Caseyburgh,New Caseyburgh,13.62,Errand/Supplies,5.0,22.83,4,Uber Credit,Premium,Round-Trip,2022-11-09,2022,November,Wednesday,9
2,Personal,Hannahside,West Mercedes,21.48,Commute,4.5,13.11,2,Card,SUV,One-Way,2024-07-17,2024,July,Wednesday,17
3,Business,Trevinofurt,Trevinofurt,30.23,Meeting,4.2,20.38,2,Cash,Economy,Round-Trip,2021-09-17,2021,September,Friday,17
4,Business,Christopherberg,Christopherberg,12.66,UNKOWN,4.8,3.4,1,Cash,SUV,Round-Trip,2021-07-22,2021,July,Thursday,22
6,Business,Villarrealhaven,Villarrealhaven,30.79,Errand/Supplies,4.9,25.02,3,Uber Credit,SUV,Round-Trip,2021-01-17,2021,January,Sunday,17
7,Business,East Miaberg,East Miaberg,22.67,Errand/Supplies,4.8,12.74,2,Uber Credit,Economy,Round-Trip,2024-01-17,2024,January,Wednesday,17
8,Personal,Watkinston,Watkinston,10.31,Commute,5.0,34.89,1,Cash,Premium,Round-Trip,2024-12-23,2024,December,Monday,23
9,Business,Juanville,Pricebury,20.43,Errand/Supplies,4.2,39.06,4,Cash,Economy,One-Way,2021-11-14,2021,November,Sunday,14
10,Business,South Heatherland,North Jillburgh,10.37,UNKOWN,5.2,0.89,3,Cash,SUV,One-Way,2020-08-12,2020,August,Wednesday,12
11,Business,Moniquechester,North Thomas,10.34,Commute,4.6,13.56,2,Uber Credit,SUV,One-Way,2024-10-17,2024,October,Thursday,17
12,Business,Williammouth,Williammouth,17.42,Errand/Supplies,5.5,13.46,3,Uber Credit,Economy,Round-Trip,2022-01-05,2022,January,Wednesday,5
13,Business,East Johnchester,UNKOWN,-4.13,Commute,4.2,10.9,3,Cash,Premium,Unknown,2022-06-11,2022,June,Saturday,11
14,Business,Farmermouth,Farmermouth,-2.25,Errand/Supplies,5.4,37.44,4,Uber Credit,Economy,Round-Trip,2021-08-21,2021,August,Saturday,21
15,Business,Emilyport,Emilyport,9.38,Errand/Supplies,4.6,22.09,1,Cash,Premium,Round-Trip,2021-05-29,2021,May,Saturday,29
16,Personal,Ryanhaven,Ryanhaven,4.87,Meal/Entertain,4.2,21.03,4,Cash,Premium,Round-Trip,2021-10-24,2021,October,Sunday,24
17,Business,Priceshire,Priceshire,18.14,Errand/Supplies,4.3,5.06,1,Cash,Premium,Round-Trip,2023-12-07,2023,December,Thursday,7
18,Personal,Jamesstad,Jamesstad,5.92,Commute,4.3,34.53,3,Card,Economy,Round-Trip,2021-12-05,2021,December,Sunday,5
19,Personal,Port Gilbertchester,Port Gilbertchester,0.88,Meeting,4.7,6.41,2,Card,Premium,Round-Trip,2021-12-17,2021,December,Friday,17
20,Business,East Phillip,Kevinton,29.66,Meal/Entertain,4.8,25.9,4,Uber Credit,Economy,One-Way,2020-06-18,2020,June,Thursday,18
21,Business,East Paulchester,East Paulchester,12.74,Errand/Supplies,4.2,29.16,1,Card,Economy,Round-Trip,2021-10-01,2021,October,Friday,1
22,Personal,South Sarahtown,UNKOWN,15.68,Errand/Supplies,4.5,45.41,3,Cash,Economy,Unknown,2020-12-28,2020,December,Monday,28
23,Personal,Kristiebury,Kristiebury,0.75,Commute,5.6,5.37,1,Uber Credit,SUV,Round-Trip,2020-01-15,2020,January,Wednesday,15
24,Personal,North Ashley,North Ashley,9.56,Meal/Entertain,5.4,20.29,1,Cash,SUV,Round-Trip,2023-06-04,2023,June,Sunday,4
25,Business,Markmouth,Markmouth,16.11,Errand/Supplies,4.7,277.6,1,Cash,SUV,Round-Trip,2024-05-26,2024,May,Sunday,26
26,Business,South Pamelabury,South Pamelabury,3.49,Meeting,4.5,52.01,3,Uber Credit,Premium,Round-Trip,2022-04-21,2022,April,Thursday,21
27,Personal,New Carlos,New Carlos,18.76,Meeting,4.6,43.58,2,Cash,SUV,Round-Trip,2023-04-02,2023,April,Sunday,2
28,Business,Riveraberg,Riveraberg,8.99,Errand/Supplies,4.8,28.14,2,Card,SUV,Round-Trip,2025-01-26,2025,January,Sunday,26
29,Business,Michaelville,Schneiderburgh,12.08,UNKOWN,4.0,17.63,2,Uber Credit,SUV,One-Way,2023-02-06,2023,February,Monday,6
30,Personal,Port Juliemouth,Port Juliemouth,8.98,Meal/Entertain,4.4,37.11,1,Card,Premium,Round-Trip,2021-08-18,2021,August,Wednesday,18
32,Personal,Port Jacobbury,Port Jacobbury,14.87,Commute,4.7,32.15,1,Uber Credit,SUV,Round-Trip,2020-09-05,2020,September,Saturday,5
34,Personal,Jenniferbury,Jenniferbury,23.23,Meeting,4.3,40.9,2,Card,Economy,Round-Trip,2024-05-13,2024,May,Monday,13
35,Business,North Tarabury,North Tarabury,2.79,Errand/Supplies,5.3,66.39,3,Card,Economy,Round-Trip,2024-11-27,2024,November,Wednesday,27
36,Personal,North Lindaview,North Lindaview,17.09,Meal/Entertain,3.9,30.89,1,Card,Economy,Round-Trip,2024-08-02,2024,August,Friday,2
37,Business,South Amber,East Brianville,-4.6,Meeting,3.8,17.37,4,Uber Credit,SUV,One-Way,2020-04-13,2020,April,Monday,13
38,Personal,Waltonfort,Waltonfort,1.72,Errand/Supplies,4.6,24.62,4,Cash,Premium,Round-Trip,2021-11-05,2021,November,Friday,5
39,Business,Josephport,Josephport,16.97,Customer Visit,5.0,1.54,2,Cash,SUV,Round-Trip,2020-06-15,2020,June,Monday,15
40,Personal,Warrenmouth,Brocktown,22.38,Commute,5.3,14.58,3,Uber Credit,Premium,One-Way,2021-12-02,2021,December,Thursday,2
41,Personal,New Catherinemouth,New Anthony,16.71,Meeting,4.3,18.86,1,Uber Credit,SUV,One-Way,2021-09-14,2021,September,Tuesday,14
42,Business,South Micheal,Kingmouth,13.84,Meeting,5.0,17.14,1,Cash,SUV,One-Way,2020-09-29,2020,September,Tuesday,29
43,Business,Port Stephanie,Port Stephanie,11.99,Customer Visit,4.5,27.29,2,Uber Credit,Economy,Round-Trip,2022-03-05,2022,March,Saturday,5
44,Business,Port Claudia,Port Claudia,0.21,Customer Visit,4.4,12.66,2,Uber Credit,Premium,Round-Trip,2021-12-19,2021,December,Sunday,19
45,Business,East Ianhaven,East Ianhaven,7.8,Meal/Entertain,4.9,41.82,1,Uber Credit,SUV,Round-Trip,2021-06-21,2021,June,Monday,21
46,Personal,Barronborough,Barronborough,10.39,Commute,4.8,25.0,1,Cash,Premium,Round-Trip,2023-06-27,2023,June,Tuesday,27
47,Business,Watkinston,Andrewchester,25.57,Commute,3.7,24.86,2,Cash,Premium,One-Way,2023-06-12,2023,June,Monday,12
48,Business,Lake David,Lake David,18.44,Meeting,5.2,20.08,1,Card,SUV,Round-Trip,2023-05-14,2023,May,Sunday,14
50,Personal,South Makaylatown,South Makaylatown,18.24,Commute,4.2,37.38,2,Cash,SUV,Round-Trip,2020-07-23,2020,July,Thursday,23
51,Personal,East Russell,East Russell,11.15,Errand/Supplies,4.7,11.99,1,Card,SUV,Round-Trip,2024-03-02,2024,March,Saturday,2
52,Personal,Cassandramouth,New Eric,8.23,Commute,4.7,15.13,2,Card,Economy,One-Way,2024-07-07,2024,July,Sunday,7
53,Personal,Calhounfurt,Calhounfurt,21.12,Meeting,4.6,20.44,3,Cash,Economy,Round-Trip,2022-01-17,2022,January,Monday,17
54,Business,Lake Paulville,Clarkview,25.31,Commute,4.2,4.81,2,Uber Credit,Premium,One-Way,2023-05-23,2023,May,Tuesday,23
55,Personal,Carrieville,West Daniel,24.31,Meal/Entertain,4.2,12.71,2,Card,Economy,One-Way,2022-03-24,2022,March,Thursday,24
56,Personal,Nathanielhaven,Nathanielhaven,6.61,Customer Visit,4.5,17.86,3,Cash,Premium,Round-Trip,2022-03-31,2022,March,Thursday,31
57,Business,Brittanyview,Brittanyview,11.91,Meeting,5.1,38.12,4,Cash,SUV,Round-Trip,2022-05-25,2022,May,Wednesday,25
58,Personal,Hillchester,Hillchester,18.31,Meeting,4.8,28.94,1,Card,Economy,Round-Trip,2021-09-29,2021,September,Wednesday,29
59,Business,Lake Carolhaven,Lake Carolhaven,24.76,Customer Visit,4.3,27.9,3,Uber Credit,SUV,Round-Trip,2020-08-12,2020,August,Wednesday,12
60,Business,Nunezshire,UNKOWN,10.21,Customer Visit,4.9,37.76,2,Uber Credit,Economy,Unknown,2024-04-19,2024,April,Friday,19
62,Business,Jessicachester,Jessicachester,3.94,Meeting,5.1,30.86,3,Card,Economy,Round-Trip,2022-01-08,2022,January,Saturday,8
63,Personal,West Marymouth,West Marymouth,3.04,Customer Visit,3.6,23.45,1,Card,SUV,Round-Trip,2021-07-01,2021,July,Thursday,1
65,Personal,Simsburgh,Simsburgh,28.56,Meeting,3.9,16.26,3,Uber Credit,Economy,Round-Trip,2022-09-28,2022,September,Wednesday,28
66,Business,East Jonathanberg,East Jonathanberg,14.28,Meeting,3.9,11.58,1,Uber Credit,SUV,Round-Trip,2021-01-10,2021,January,Sunday,10
67,Personal,Julieport,Julieport,25.04,Meal/Entertain,5.1,22.99,4,Uber Credit,Premium,Round-Trip,2023-02-21,2023,February,Tuesday,21
68,Business,West Spencerburgh,West Spencerburgh,186.2,Commute,4.3,46.34,3,Card,Premium,Round-Trip,2022-05-08,2022,May,Sunday,8
69,Business,Lake Caitlin,Lake Caitlin,8.55,Errand/Supplies,4.7,38.89,4,Cash,Economy,Round-Trip,2020-09-13,2020,September,Sunday,13
70,Business,Holmesside,South Bethany,18.61,Meeting,4.5,39.48,2,Uber Credit,SUV,One-Way,2024-05-12,2024,May,Sunday,12
71,Personal,North Williamfurt,Jessicaborough,30.38,UNKOWN,4.7,43.54,1,Card,SUV,One-Way,2020-05-14,2020,May,Thursday,14
72,Personal,Roweland,Roweland,14.64,Meal/Entertain,4.5,26.33,2,Card,Premium,Round-Trip,2024-05-07,2024,May,Tuesday,7
73,Personal,Janetport,Janetport,30.65,Commute,3.9,27.96,2,Cash,SUV,Round-Trip,2021-04-26,2021,April,Monday,26
74,Business,West Jennifermouth,West Jennifermouth,-11.2,Commute,5.0,15.74,1,Cash,Premium,Round-Trip,2020-06-14,2020,June,Sunday,14
75,Business,New Alexander,North Christian,23.22,Commute,4.3,20.26,3,Card,Premium,One-Way,2022-05-04,2022,May,Wednesday,4
76,Personal,Seanburgh,West Tyler,15.87,Meal/Entertain,3.7,34.24,1,Cash,Premium,One-Way,2023-09-10,2023,September,Sunday,10
77,Business,Chaseport,Dillonborough,12.01,Customer Visit,4.3,43.06,2,Uber Credit,Economy,One-Way,2023-11-03,2023,November,Friday,3
78,Personal,Mirandaland,Port Jasonland,15.92,Commute,5.3,229.1,2,Card,SUV,One-Way,2024-06-17,2024,June,Monday,17
79,Personal,Mendozabury,Mendozabury,-4.88,Commute,4.9,18.25,3,Uber Credit,Economy,Round-Trip,2022-03-03,2022,March,Thursday,3
80,Personal,Colemanport,Colemanport,12.8,Meal/Entertain,4.3,25.01,1,Card,Premium,Round-Trip,2023-06-21,2023,June,Wednesday,21
81,Business,Maryfurt,Maryfurt,18.57,Customer Visit,4.3,34.02,2,Uber Credit,SUV,Round-Trip,2022-04-18,2022,April,Monday,18
83,Business,North Scott,North Scott,9.82,Commute,5.5,9.44,2,Cash,Premium,Round-Trip,2021-07-11,2021,July,Sunday,11
84,Business,Lake Danielleport,Lake Danielleport,6.92,Customer Visit,4.7,16.74,2,Uber Credit,SUV,Round-Trip,2021-11-27,2021,November,Saturday,27
85,Personal,North Dustin,North Dustin,9.98,Meeting,4.7,6.69,3,Card,Premium,Round-Trip,2021-05-09,2021,May,Sunday,9
86,Personal,North Zachary,Farmermouth,24.15,Meeting,5.0,17.38,4,Card,Premium,One-Way,2023-10-25,2023,October,Wednesday,25
